Date,Operação
2005-01-31,BUY
2005-02-01,HOLD
2005-02-02,HOLD
2005-02-03,HOLD
2005-02-04,HOLD
2005-02-09,HOLD
2005-02-10,HOLD
2005-02-11,HOLD
2005-02-14,HOLD
2005-02-15,HOLD
2005-02-16,HOLD
2005-02-17,HOLD
2005-02-18,HOLD
2005-02-21,HOLD
2005-02-22,HOLD
2005-02-23,HOLD
2005-02-24,HOLD
2005-02-25,HOLD
2005-02-28,HOLD
2005-03-01,HOLD
2005-03-02,HOLD
2005-03-03,HOLD
2005-03-04,HOLD
2005-03-07,HOLD
2005-03-08,HOLD
2005-03-09,HOLD
2005-03-10,HOLD
2005-03-11,HOLD
2005-03-14,HOLD
2005-03-15,HOLD
2005-03-16,HOLD
2005-03-17,HOLD
2005-03-18,HOLD
2005-03-21,HOLD
2005-03-22,HOLD
2005-03-23,HOLD
2005-03-24,HOLD
2005-03-28,HOLD
2005-03-29,HOLD
2005-03-30,HOLD
2005-03-31,HOLD
2005-04-01,HOLD
2005-04-04,HOLD
2005-04-05,HOLD
2005-04-06,HOLD
2005-04-07,HOLD
2005-04-08,HOLD
2005-04-11,HOLD
2005-04-12,HOLD
2005-04-13,HOLD
2005-04-14,HOLD
2005-04-15,HOLD
2005-04-18,HOLD
2005-04-19,HOLD
2005-04-20,HOLD
2005-04-22,HOLD
2005-04-25,HOLD
2005-04-26,HOLD
2005-04-27,HOLD
2005-04-28,HOLD
2005-04-29,HOLD
2005-05-02,HOLD
2005-05-03,HOLD
2005-05-04,HOLD
2005-05-05,HOLD
2005-05-06,HOLD
2005-05-09,HOLD
2005-05-10,HOLD
2005-05-11,HOLD
2005-05-12,HOLD
2005-05-13,HOLD
2005-05-16,HOLD
2005-05-17,HOLD
2005-05-18,HOLD
2005-05-19,HOLD
2005-05-20,HOLD
2005-05-23,HOLD
2005-05-24,HOLD
2005-05-25,HOLD
2005-05-27,HOLD
2005-05-30,HOLD
2005-05-31,HOLD
2005-06-01,HOLD
2005-06-02,HOLD
2005-06-03,HOLD
2005-06-06,HOLD
2005-06-07,HOLD
2005-06-08,HOLD
2005-06-09,HOLD
2005-06-10,HOLD
2005-06-13,HOLD
2005-06-14,HOLD
2005-06-15,HOLD
2005-06-16,HOLD
2005-06-17,HOLD
2005-06-20,HOLD
2005-06-21,HOLD
2005-06-22,HOLD
2005-06-23,HOLD
2005-06-24,HOLD
2005-06-27,HOLD
2005-06-28,HOLD
2005-06-29,HOLD
2005-06-30,HOLD
2005-07-01,HOLD
2005-07-04,HOLD
2005-07-05,HOLD
2005-07-06,HOLD
2005-07-07,HOLD
2005-07-08,HOLD
2005-07-11,HOLD
2005-07-12,HOLD
2005-07-13,HOLD
2005-07-14,HOLD
2005-07-15,HOLD
2005-07-18,HOLD
2005-07-19,HOLD
2005-07-20,HOLD
2005-07-21,HOLD
2005-07-22,HOLD
2005-07-25,HOLD
2005-07-26,HOLD
2005-07-27,HOLD
2005-07-28,HOLD
2005-07-29,HOLD
2005-08-01,HOLD
2005-08-02,HOLD
2005-08-03,HOLD
2005-08-04,HOLD
2005-08-05,HOLD
2005-08-08,HOLD
2005-08-09,HOLD
2005-08-10,HOLD
2005-08-11,HOLD
2005-08-12,HOLD
2005-08-15,HOLD
2005-08-16,HOLD
2005-08-17,HOLD
2005-08-18,HOLD
2005-08-19,HOLD
2005-08-22,HOLD
2005-08-23,HOLD
2005-08-24,HOLD
2005-08-25,HOLD
2005-08-26,HOLD
2005-08-29,HOLD
2005-08-30,HOLD
2005-08-31,HOLD
2005-09-01,HOLD
2005-09-02,HOLD
2005-09-05,HOLD
2005-09-06,HOLD
2005-09-08,HOLD
2005-09-09,HOLD
2005-09-12,HOLD
2005-09-13,HOLD
2005-09-14,HOLD
2005-09-15,HOLD
2005-09-16,HOLD
2005-09-19,HOLD
2005-09-20,HOLD
2005-09-21,HOLD
2005-09-22,HOLD
2005-09-23,HOLD
2005-09-26,HOLD
2005-09-27,HOLD
2005-09-28,HOLD
2005-09-29,HOLD
2005-09-30,HOLD
2005-10-03,HOLD
2005-10-04,HOLD
2005-10-05,HOLD
2005-10-06,HOLD
2005-10-07,HOLD
2005-10-10,HOLD
2005-10-11,HOLD
2005-10-13,HOLD
2005-10-14,HOLD
2005-10-17,HOLD
2005-10-18,HOLD
2005-10-19,HOLD
2005-10-20,HOLD
2005-10-21,HOLD
2005-10-24,HOLD
2005-10-25,HOLD
2005-10-26,HOLD
2005-10-27,HOLD
2005-10-28,HOLD
2005-10-31,HOLD
2005-11-01,HOLD
2005-11-03,HOLD
2005-11-04,HOLD
2005-11-07,HOLD
2005-11-08,HOLD
2005-11-09,HOLD
2005-11-10,HOLD
2005-11-11,HOLD
2005-11-14,HOLD
2005-11-16,HOLD
2005-11-17,HOLD
2005-11-18,HOLD
2005-11-21,HOLD
2005-11-22,HOLD
2005-11-23,HOLD
2005-11-24,HOLD
2005-11-25,HOLD
2005-11-28,HOLD
2005-11-29,HOLD
2005-11-30,HOLD
2005-12-01,HOLD
2005-12-02,HOLD
2005-12-05,HOLD
2005-12-06,HOLD
2005-12-07,HOLD
2005-12-08,HOLD
2005-12-09,HOLD
2005-12-12,HOLD
2005-12-13,HOLD
2005-12-14,HOLD
2005-12-15,HOLD
2005-12-16,HOLD
2005-12-19,HOLD
2005-12-20,HOLD
2005-12-21,HOLD
2005-12-22,HOLD
2005-12-23,HOLD
2005-12-26,HOLD
2005-12-27,HOLD
2005-12-28,HOLD
2005-12-29,HOLD
2006-01-02,HOLD
2006-01-03,HOLD
2006-01-04,HOLD
2006-01-05,HOLD
2006-01-06,HOLD
2006-01-09,HOLD
2006-01-10,HOLD
2006-01-11,HOLD
2006-01-12,HOLD
2006-01-13,HOLD
2006-01-16,HOLD
2006-01-17,HOLD
2006-01-18,HOLD
2006-01-19,HOLD
2006-01-20,HOLD
2006-01-23,HOLD
2006-01-24,HOLD
2006-01-26,HOLD
2006-01-27,HOLD
2006-01-30,HOLD
2006-01-31,HOLD
2006-02-01,HOLD
2006-02-02,HOLD
2006-02-03,HOLD
2006-02-06,HOLD
2006-02-07,HOLD
2006-02-08,HOLD
2006-02-09,HOLD
2006-02-10,HOLD
2006-02-13,HOLD
2006-02-14,HOLD
2006-02-15,HOLD
2006-02-16,HOLD
2006-02-17,HOLD
2006-02-20,HOLD
2006-02-21,HOLD
2006-02-22,HOLD
2006-02-23,HOLD
2006-02-24,HOLD
2006-03-01,HOLD
2006-03-02,HOLD
2006-03-03,HOLD
2006-03-06,HOLD
2006-03-07,HOLD
2006-03-08,HOLD
2006-03-09,HOLD
2006-03-10,HOLD
2006-03-13,HOLD
2006-03-14,HOLD
2006-03-15,HOLD
2006-03-16,HOLD
2006-03-17,HOLD
2006-03-20,HOLD
2006-03-21,HOLD
2006-03-22,HOLD
2006-03-23,HOLD
2006-03-24,HOLD
2006-03-27,HOLD
2006-03-28,HOLD
2006-03-29,HOLD
2006-03-30,HOLD
2006-03-31,HOLD
2006-04-03,HOLD
2006-04-04,HOLD
2006-04-05,HOLD
2006-04-06,HOLD
2006-04-07,HOLD
2006-04-10,HOLD
2006-04-11,HOLD
2006-04-12,HOLD
2006-04-13,HOLD
2006-04-17,HOLD
2006-04-18,HOLD
2006-04-19,HOLD
2006-04-20,HOLD
2006-04-24,HOLD
2006-04-25,HOLD
2006-04-26,HOLD
2006-04-27,HOLD
2006-04-28,HOLD
2006-05-02,HOLD
2006-05-03,HOLD
2006-05-04,HOLD
2006-05-05,HOLD
2006-05-08,HOLD
2006-05-09,HOLD
2006-05-10,HOLD
2006-05-11,HOLD
2006-05-12,HOLD
2006-05-15,HOLD
2006-05-16,HOLD
2006-05-17,HOLD
2006-05-18,HOLD
2006-05-19,HOLD
2006-05-22,HOLD
2006-05-23,HOLD
2006-05-24,HOLD
2006-05-25,HOLD
2006-05-26,HOLD
2006-05-29,HOLD
2006-05-30,HOLD
2006-05-31,HOLD
2006-06-01,HOLD
2006-06-02,HOLD
2006-06-05,HOLD
2006-06-06,HOLD
2006-06-07,HOLD
2006-06-08,HOLD
2006-06-09,HOLD
2006-06-12,HOLD
2006-06-13,HOLD
2006-06-14,HOLD
2006-06-16,HOLD
2006-06-19,HOLD
2006-06-20,HOLD
2006-06-21,HOLD
2006-06-22,HOLD
2006-06-23,HOLD
2006-06-26,HOLD
2006-06-27,HOLD
2006-06-28,HOLD
2006-06-29,HOLD
2006-06-30,HOLD
2006-07-03,HOLD
2006-07-04,HOLD
2006-07-05,HOLD
2006-07-06,HOLD
2006-07-07,HOLD
2006-07-10,HOLD
2006-07-11,HOLD
2006-07-12,HOLD
2006-07-13,HOLD
2006-07-14,HOLD
2006-07-17,HOLD
2006-07-18,HOLD
2006-07-19,HOLD
2006-07-20,HOLD
2006-07-21,HOLD
2006-07-24,HOLD
2006-07-25,HOLD
2006-07-26,HOLD
2006-07-27,HOLD
2006-07-28,HOLD
2006-07-31,HOLD
2006-08-01,HOLD
2006-08-02,HOLD
2006-08-03,HOLD
2006-08-04,HOLD
2006-08-07,HOLD
2006-08-08,HOLD
2006-08-09,HOLD
2006-08-10,HOLD
2006-08-11,HOLD
2006-08-14,HOLD
2006-08-15,HOLD
2006-08-16,HOLD
2006-08-17,HOLD
2006-08-18,HOLD
2006-08-21,HOLD
2006-08-22,HOLD
2006-08-23,HOLD
2006-08-24,HOLD
2006-08-25,HOLD
2006-08-28,HOLD
2006-08-29,HOLD
2006-08-30,HOLD
2006-08-31,HOLD
2006-09-01,HOLD
2006-09-04,HOLD
2006-09-05,HOLD
2006-09-06,HOLD
2006-09-08,HOLD
2006-09-11,HOLD
2006-09-12,HOLD
2006-09-13,HOLD
2006-09-14,HOLD
2006-09-15,HOLD
2006-09-18,HOLD
2006-09-19,HOLD
2006-09-20,HOLD
2006-09-21,HOLD
2006-09-22,HOLD
2006-09-25,HOLD
2006-09-26,HOLD
2006-09-27,HOLD
2006-09-28,HOLD
2006-09-29,HOLD
2006-10-02,HOLD
2006-10-03,HOLD
2006-10-04,HOLD
2006-10-05,HOLD
2006-10-06,HOLD
2006-10-09,HOLD
2006-10-10,HOLD
2006-10-11,HOLD
2006-10-13,HOLD
2006-10-16,HOLD
2006-10-17,HOLD
2006-10-18,HOLD
2006-10-19,HOLD
2006-10-20,HOLD
2006-10-23,HOLD
2006-10-24,HOLD
2006-10-25,HOLD
2006-10-26,HOLD
2006-10-27,HOLD
2006-10-30,HOLD
2006-10-31,HOLD
2006-11-01,HOLD
2006-11-03,HOLD
2006-11-06,HOLD
2006-11-07,HOLD
2006-11-08,HOLD
2006-11-09,HOLD
2006-11-10,HOLD
2006-11-13,HOLD
2006-11-14,HOLD
2006-11-16,HOLD
2006-11-17,HOLD
2006-11-21,HOLD
2006-11-22,HOLD
2006-11-23,HOLD
2006-11-24,HOLD
2006-11-27,HOLD
2006-11-28,HOLD
2006-11-29,HOLD
2006-11-30,HOLD
2006-12-01,HOLD
2006-12-04,HOLD
2006-12-05,HOLD
2006-12-06,HOLD
2006-12-07,HOLD
2006-12-08,HOLD
2006-12-11,HOLD
2006-12-12,HOLD
2006-12-13,HOLD
2006-12-14,HOLD
2006-12-15,HOLD
2006-12-18,HOLD
2006-12-19,HOLD
2006-12-20,HOLD
2006-12-21,HOLD
2006-12-22,HOLD
2006-12-26,HOLD
2006-12-27,HOLD
2006-12-28,HOLD
2007-01-02,HOLD
2007-01-03,HOLD
2007-01-04,HOLD
2007-01-05,HOLD
2007-01-08,HOLD
2007-01-09,HOLD
2007-01-10,HOLD
2007-01-11,HOLD
2007-01-12,HOLD
2007-01-15,HOLD
2007-01-16,HOLD
2007-01-17,HOLD
2007-01-18,HOLD
2007-01-19,HOLD
2007-01-22,HOLD
2007-01-23,HOLD
2007-01-24,HOLD
2007-01-26,HOLD
2007-01-29,HOLD
2007-01-30,HOLD
2007-01-31,HOLD
2007-02-01,HOLD
2007-02-02,HOLD
2007-02-05,HOLD
2007-02-06,HOLD
2007-02-07,HOLD
2007-02-08,HOLD
2007-02-09,HOLD
2007-02-12,HOLD
2007-02-13,HOLD
2007-02-14,HOLD
2007-02-15,HOLD
2007-02-16,HOLD
2007-02-21,HOLD
2007-02-22,HOLD
2007-02-23,HOLD
2007-02-26,HOLD
2007-02-27,HOLD
2007-02-28,HOLD
2007-03-01,HOLD
2007-03-02,HOLD
2007-03-05,HOLD
2007-03-06,HOLD
2007-03-07,HOLD
2007-03-08,HOLD
2007-03-09,HOLD
2007-03-12,HOLD
2007-03-13,HOLD
2007-03-14,HOLD
2007-03-15,HOLD
2007-03-16,HOLD
2007-03-19,HOLD
2007-03-20,HOLD
2007-03-21,HOLD
2007-03-22,HOLD
2007-03-23,HOLD
2007-03-26,HOLD
2007-03-27,HOLD
2007-03-28,HOLD
2007-03-29,HOLD
2007-03-30,HOLD
2007-04-02,HOLD
2007-04-03,HOLD
2007-04-04,HOLD
2007-04-05,HOLD
2007-04-09,HOLD
2007-04-10,HOLD
2007-04-11,HOLD
2007-04-12,HOLD
2007-04-13,HOLD
2007-04-16,HOLD
2007-04-17,HOLD
2007-04-18,HOLD
2007-04-19,HOLD
2007-04-20,HOLD
2007-04-23,HOLD
2007-04-24,HOLD
2007-04-25,HOLD
2007-04-26,HOLD
2007-04-27,HOLD
2007-04-30,HOLD
2007-05-02,HOLD
2007-05-03,HOLD
2007-05-04,HOLD
2007-05-07,HOLD
2007-05-08,HOLD
2007-05-09,HOLD
2007-05-10,HOLD
2007-05-11,HOLD
2007-05-14,HOLD
2007-05-15,HOLD
2007-05-16,HOLD
2007-05-17,HOLD
2007-05-18,HOLD
2007-05-21,HOLD
2007-05-22,HOLD
2007-05-23,HOLD
2007-05-24,HOLD
2007-05-25,HOLD
2007-05-28,HOLD
2007-05-29,HOLD
2007-05-30,HOLD
2007-05-31,HOLD
2007-06-01,HOLD
2007-06-04,HOLD
2007-06-05,HOLD
2007-06-06,HOLD
2007-06-08,HOLD
2007-06-11,HOLD
2007-06-12,HOLD
2007-06-13,HOLD
2007-06-14,HOLD
2007-06-15,HOLD
2007-06-18,HOLD
2007-06-19,HOLD
2007-06-20,HOLD
2007-06-21,HOLD
2007-06-22,HOLD
2007-06-25,HOLD
2007-06-26,HOLD
2007-06-27,HOLD
2007-06-28,HOLD
2007-06-29,HOLD
2007-07-02,HOLD
2007-07-03,HOLD
2007-07-04,HOLD
2007-07-05,HOLD
2007-07-06,HOLD
2007-07-10,HOLD
2007-07-11,HOLD
2007-07-12,HOLD
2007-07-13,HOLD
2007-07-16,HOLD
2007-07-17,HOLD
2007-07-18,HOLD
2007-07-19,HOLD
2007-07-20,HOLD
2007-07-23,HOLD
2007-07-24,HOLD
2007-07-25,HOLD
2007-07-26,HOLD
2007-07-27,HOLD
2007-07-30,HOLD
2007-07-31,HOLD
2007-08-01,HOLD
2007-08-02,HOLD
2007-08-03,HOLD
2007-08-06,HOLD
2007-08-07,HOLD
2007-08-08,HOLD
2007-08-09,HOLD
2007-08-10,HOLD
2007-08-13,HOLD
