Date,Operação
2007-08-14,HOLD
2007-08-15,HOLD
2007-08-16,HOLD
2007-08-17,HOLD
2007-08-20,HOLD
2007-08-21,HOLD
2007-08-22,HOLD
2007-08-23,HOLD
2007-08-24,HOLD
2007-08-27,HOLD
2007-08-28,HOLD
2007-08-29,HOLD
2007-08-30,HOLD
2007-08-31,HOLD
2007-09-03,HOLD
2007-09-04,HOLD
2007-09-05,HOLD
2007-09-06,HOLD
2007-09-10,HOLD
2007-09-11,HOLD
2007-09-12,HOLD
2007-09-13,HOLD
2007-09-14,HOLD
2007-09-17,HOLD
2007-09-18,HOLD
2007-09-19,HOLD
2007-09-20,HOLD
2007-09-21,HOLD
2007-09-24,HOLD
2007-09-25,HOLD
2007-09-26,HOLD
2007-09-27,HOLD
2007-09-28,HOLD
2007-10-01,HOLD
2007-10-02,HOLD
2007-10-03,HOLD
2007-10-04,HOLD
2007-10-05,HOLD
2007-10-08,HOLD
2007-10-09,HOLD
2007-10-10,HOLD
2007-10-11,HOLD
2007-10-15,HOLD
2007-10-16,HOLD
2007-10-17,HOLD
2007-10-18,HOLD
2007-10-19,HOLD
2007-10-22,HOLD
2007-10-23,HOLD
2007-10-24,HOLD
2007-10-25,HOLD
2007-10-26,HOLD
2007-10-29,HOLD
2007-10-30,HOLD
2007-10-31,HOLD
2007-11-01,HOLD
2007-11-05,HOLD
2007-11-06,HOLD
2007-11-07,HOLD
2007-11-08,HOLD
2007-11-09,HOLD
2007-11-12,HOLD
2007-11-13,HOLD
2007-11-14,HOLD
2007-11-16,HOLD
2007-11-19,HOLD
2007-11-21,HOLD
2007-11-22,HOLD
2007-11-23,HOLD
2007-11-26,HOLD
2007-11-27,HOLD
2007-11-28,HOLD
2007-11-29,HOLD
2007-11-30,HOLD
2007-12-03,HOLD
2007-12-04,HOLD
2007-12-05,HOLD
2007-12-06,HOLD
2007-12-07,HOLD
2007-12-10,HOLD
2007-12-11,HOLD
2007-12-12,HOLD
2007-12-13,HOLD
2007-12-14,HOLD
2007-12-17,HOLD
2007-12-18,HOLD
2007-12-19,HOLD
2007-12-20,HOLD
2007-12-21,HOLD
2007-12-26,HOLD
2007-12-27,HOLD
2007-12-28,HOLD
2008-01-02,HOLD
2008-01-03,HOLD
2008-01-04,HOLD
2008-01-07,HOLD
2008-01-08,HOLD
2008-01-09,HOLD
2008-01-10,HOLD
2008-01-11,HOLD
2008-01-14,HOLD
2008-01-15,HOLD
2008-01-16,HOLD
2008-01-17,HOLD
2008-01-18,HOLD
2008-01-21,HOLD
2008-01-22,HOLD
2008-01-23,HOLD
2008-01-24,HOLD
2008-01-28,HOLD
2008-01-29,HOLD
2008-01-30,HOLD
2008-01-31,HOLD
2008-02-01,HOLD
2008-02-06,HOLD
2008-02-07,HOLD
2008-02-08,HOLD
2008-02-11,HOLD
2008-02-12,HOLD
2008-02-13,HOLD
2008-02-14,HOLD
2008-02-15,HOLD
2008-02-18,HOLD
2008-02-19,HOLD
2008-02-20,HOLD
2008-02-21,HOLD
2008-02-22,HOLD
2008-02-25,HOLD
2008-02-26,HOLD
2008-02-27,HOLD
2008-02-28,HOLD
2008-02-29,HOLD
2008-03-03,HOLD
2008-03-04,HOLD
2008-03-05,HOLD
2008-03-06,HOLD
2008-03-07,HOLD
2008-03-10,HOLD
2008-03-11,HOLD
2008-03-12,HOLD
2008-03-13,HOLD
2008-03-14,HOLD
2008-03-17,HOLD
2008-03-18,HOLD
2008-03-19,HOLD
2008-03-20,HOLD
2008-03-24,HOLD
2008-03-25,HOLD
2008-03-26,HOLD
2008-03-27,HOLD
2008-03-28,HOLD
2008-03-31,HOLD
2008-04-01,HOLD
2008-04-02,HOLD
2008-04-03,HOLD
2008-04-04,HOLD
2008-04-07,HOLD
2008-04-08,HOLD
2008-04-09,HOLD
2008-04-10,HOLD
2008-04-11,HOLD
2008-04-14,HOLD
2008-04-15,HOLD
2008-04-16,HOLD
2008-04-17,HOLD
2008-04-18,HOLD
2008-04-22,HOLD
2008-04-23,HOLD
2008-04-24,HOLD
2008-04-25,HOLD
2008-04-28,HOLD
2008-04-29,HOLD
2008-04-30,HOLD
2008-05-02,HOLD
2008-05-05,HOLD
2008-05-06,HOLD
2008-05-07,HOLD
2008-05-08,HOLD
2008-05-09,HOLD
2008-05-12,HOLD
2008-05-13,HOLD
2008-05-14,HOLD
2008-05-15,HOLD
2008-05-16,HOLD
2008-05-19,HOLD
2008-05-20,HOLD
2008-05-21,HOLD
2008-05-23,HOLD
2008-05-26,HOLD
2008-05-27,HOLD
2008-05-28,HOLD
2008-05-29,HOLD
2008-05-30,HOLD
2008-06-02,HOLD
2008-06-03,HOLD
2008-06-04,HOLD
2008-06-05,HOLD
2008-06-06,HOLD
2008-06-09,HOLD
2008-06-10,HOLD
2008-06-11,HOLD
2008-06-12,HOLD
2008-06-13,HOLD
2008-06-16,HOLD
2008-06-17,HOLD
2008-06-18,HOLD
2008-06-19,HOLD
2008-06-20,HOLD
2008-06-23,HOLD
2008-06-24,HOLD
2008-06-25,HOLD
2008-06-26,HOLD
2008-06-27,HOLD
2008-06-30,HOLD
2008-07-01,HOLD
2008-07-02,HOLD
2008-07-03,HOLD
2008-07-04,HOLD
2008-07-07,HOLD
2008-07-08,HOLD
2008-07-10,HOLD
2008-07-11,HOLD
2008-07-14,HOLD
2008-07-15,HOLD
2008-07-16,HOLD
2008-07-17,HOLD
2008-07-18,HOLD
2008-07-21,HOLD
2008-07-22,HOLD
2008-07-23,HOLD
2008-07-24,HOLD
2008-07-25,HOLD
2008-07-28,HOLD
2008-07-29,HOLD
2008-07-30,HOLD
2008-07-31,HOLD
2008-08-01,HOLD
2008-08-04,HOLD
2008-08-05,HOLD
2008-08-06,HOLD
2008-08-07,HOLD
2008-08-08,HOLD
2008-08-11,HOLD
2008-08-12,HOLD
2008-08-13,HOLD
2008-08-14,HOLD
2008-08-15,HOLD
2008-08-18,HOLD
2008-08-19,HOLD
2008-08-20,HOLD
2008-08-21,HOLD
2008-08-22,HOLD
2008-08-25,HOLD
2008-08-26,HOLD
2008-08-27,HOLD
2008-08-28,HOLD
2008-08-29,HOLD
2008-09-01,HOLD
2008-09-02,HOLD
2008-09-03,HOLD
2008-09-04,HOLD
2008-09-05,HOLD
2008-09-08,HOLD
2008-09-09,HOLD
2008-09-10,HOLD
2008-09-11,HOLD
2008-09-12,HOLD
2008-09-15,HOLD
2008-09-16,HOLD
2008-09-17,HOLD
2008-09-18,HOLD
2008-09-19,HOLD
2008-09-22,HOLD
2008-09-23,HOLD
2008-09-24,HOLD
2008-09-25,HOLD
2008-09-26,HOLD
2008-09-29,HOLD
2008-09-30,HOLD
2008-10-01,HOLD
2008-10-02,HOLD
2008-10-03,HOLD
2008-10-06,HOLD
2008-10-07,HOLD
2008-10-08,HOLD
2008-10-09,HOLD
2008-10-10,HOLD
2008-10-13,HOLD
2008-10-14,HOLD
2008-10-15,HOLD
2008-10-16,HOLD
2008-10-17,HOLD
2008-10-20,HOLD
2008-10-21,HOLD
2008-10-22,HOLD
2008-10-23,HOLD
2008-10-24,HOLD
2008-10-27,HOLD
2008-10-28,HOLD
2008-10-29,HOLD
2008-10-30,HOLD
2008-10-31,HOLD
2008-11-03,HOLD
2008-11-04,HOLD
2008-11-05,HOLD
2008-11-06,HOLD
2008-11-07,HOLD
2008-11-10,HOLD
2008-11-11,HOLD
2008-11-12,HOLD
2008-11-13,HOLD
2008-11-14,HOLD
2008-11-17,HOLD
2008-11-18,HOLD
2008-11-19,HOLD
2008-11-21,HOLD
2008-11-24,HOLD
2008-11-25,HOLD
2008-11-26,HOLD
2008-11-27,HOLD
2008-11-28,HOLD
2008-12-01,HOLD
2008-12-02,HOLD
2008-12-03,HOLD
2008-12-04,HOLD
2008-12-05,HOLD
2008-12-08,HOLD
2008-12-09,HOLD
2008-12-10,HOLD
2008-12-11,HOLD
2008-12-12,HOLD
2008-12-15,HOLD
2008-12-16,HOLD
2008-12-17,HOLD
2008-12-18,HOLD
2008-12-19,HOLD
2008-12-22,HOLD
2008-12-23,HOLD
2008-12-26,HOLD
2008-12-29,HOLD
2008-12-30,HOLD
2009-01-02,HOLD
2009-01-05,HOLD
2009-01-06,HOLD
2009-01-07,HOLD
2009-01-08,HOLD
2009-01-09,HOLD
2009-01-12,HOLD
2009-01-13,HOLD
2009-01-14,HOLD
2009-01-15,HOLD
2009-01-16,HOLD
2009-01-19,HOLD
2009-01-20,HOLD
2009-01-21,HOLD
2009-01-22,HOLD
2009-01-23,HOLD
2009-01-26,HOLD
2009-01-27,HOLD
2009-01-28,HOLD
2009-01-29,HOLD
2009-01-30,HOLD
2009-02-02,HOLD
2009-02-03,HOLD
2009-02-04,HOLD
2009-02-05,HOLD
2009-02-06,HOLD
2009-02-09,HOLD
2009-02-10,HOLD
2009-02-11,HOLD
2009-02-12,HOLD
2009-02-13,HOLD
2009-02-16,HOLD
2009-02-17,HOLD
2009-02-18,HOLD
2009-02-19,HOLD
2009-02-20,HOLD
2009-02-25,HOLD
2009-02-26,HOLD
2009-02-27,HOLD
2009-03-02,HOLD
2009-03-03,HOLD
2009-03-04,HOLD
2009-03-05,HOLD
2009-03-06,HOLD
2009-03-09,HOLD
2009-03-10,HOLD
2009-03-11,HOLD
2009-03-12,HOLD
2009-03-13,HOLD
2009-03-16,HOLD
2009-03-17,HOLD
2009-03-18,HOLD
2009-03-19,HOLD
2009-03-20,HOLD
2009-03-23,HOLD
2009-03-24,HOLD
2009-03-25,HOLD
2009-03-26,HOLD
2009-03-27,HOLD
2009-03-30,HOLD
2009-03-31,HOLD
2009-04-01,HOLD
2009-04-02,HOLD
2009-04-03,HOLD
2009-04-06,HOLD
2009-04-07,HOLD
2009-04-08,HOLD
2009-04-09,HOLD
2009-04-13,HOLD
2009-04-14,HOLD
2009-04-15,HOLD
2009-04-16,HOLD
2009-04-17,HOLD
2009-04-20,HOLD
2009-04-22,HOLD
2009-04-23,HOLD
2009-04-24,HOLD
2009-04-27,HOLD
2009-04-28,HOLD
2009-04-29,HOLD
2009-04-30,HOLD
2009-05-04,HOLD
2009-05-05,HOLD
2009-05-06,HOLD
2009-05-07,HOLD
2009-05-08,HOLD
2009-05-11,HOLD
2009-05-12,HOLD
2009-05-13,HOLD
2009-05-14,HOLD
2009-05-15,HOLD
2009-05-18,HOLD
2009-05-19,HOLD
2009-05-20,HOLD
2009-05-21,HOLD
2009-05-22,HOLD
2009-05-25,HOLD
2009-05-26,HOLD
2009-05-27,HOLD
2009-05-28,HOLD
2009-05-29,HOLD
2009-06-01,HOLD
2009-06-02,HOLD
2009-06-03,HOLD
2009-06-04,HOLD
2009-06-05,HOLD
2009-06-08,HOLD
2009-06-09,HOLD
2009-06-10,HOLD
2009-06-12,HOLD
2009-06-15,HOLD
2009-06-16,HOLD
2009-06-17,HOLD
2009-06-18,HOLD
2009-06-19,HOLD
2009-06-22,HOLD
2009-06-23,HOLD
2009-06-24,HOLD
2009-06-25,HOLD
2009-06-26,HOLD
2009-06-29,HOLD
2009-06-30,HOLD
2009-07-01,HOLD
2009-07-02,HOLD
2009-07-03,HOLD
2009-07-06,HOLD
2009-07-07,HOLD
2009-07-08,HOLD
2009-07-10,HOLD
2009-07-13,HOLD
2009-07-14,HOLD
2009-07-15,HOLD
2009-07-16,HOLD
2009-07-17,HOLD
2009-07-20,HOLD
2009-07-21,HOLD
2009-07-22,HOLD
2009-07-23,HOLD
2009-07-24,HOLD
2009-07-27,HOLD
2009-07-28,HOLD
2009-07-29,HOLD
2009-07-30,HOLD
2009-07-31,HOLD
2009-08-03,HOLD
2009-08-04,HOLD
2009-08-05,HOLD
2009-08-06,HOLD
2009-08-07,HOLD
2009-08-10,HOLD
2009-08-11,HOLD
2009-08-12,HOLD
2009-08-13,HOLD
2009-08-14,HOLD
2009-08-17,HOLD
2009-08-18,HOLD
2009-08-19,HOLD
2009-08-20,HOLD
2009-08-21,HOLD
2009-08-24,HOLD
2009-08-25,HOLD
2009-08-26,HOLD
2009-08-27,HOLD
2009-08-28,HOLD
2009-08-31,HOLD
2009-09-01,HOLD
2009-09-02,HOLD
2009-09-03,HOLD
2009-09-04,HOLD
2009-09-08,HOLD
2009-09-09,HOLD
2009-09-10,HOLD
2009-09-11,HOLD
2009-09-14,HOLD
2009-09-15,HOLD
2009-09-16,HOLD
2009-09-17,HOLD
2009-09-18,HOLD
2009-09-21,HOLD
2009-09-22,HOLD
2009-09-23,HOLD
2009-09-24,HOLD
2009-09-25,HOLD
2009-09-28,HOLD
2009-09-29,HOLD
2009-09-30,HOLD
2009-10-01,HOLD
2009-10-02,HOLD
2009-10-05,HOLD
2009-10-06,HOLD
2009-10-07,HOLD
2009-10-08,HOLD
2009-10-09,HOLD
2009-10-13,HOLD
2009-10-14,HOLD
2009-10-15,HOLD
2009-10-16,HOLD
2009-10-19,HOLD
2009-10-20,HOLD
2009-10-21,HOLD
2009-10-22,HOLD
2009-10-23,HOLD
2009-10-26,HOLD
2009-10-27,HOLD
2009-10-28,HOLD
2009-10-29,HOLD
2009-10-30,HOLD
2009-11-03,HOLD
2009-11-04,HOLD
2009-11-05,HOLD
2009-11-06,HOLD
2009-11-09,HOLD
2009-11-10,HOLD
2009-11-11,HOLD
2009-11-12,HOLD
2009-11-13,HOLD
2009-11-16,HOLD
2009-11-17,HOLD
2009-11-18,HOLD
2009-11-19,HOLD
2009-11-23,HOLD
2009-11-24,HOLD
2009-11-25,HOLD
2009-11-26,HOLD
2009-11-27,HOLD
2009-11-30,HOLD
2009-12-01,HOLD
2009-12-02,HOLD
2009-12-03,HOLD
2009-12-04,HOLD
2009-12-07,HOLD
2009-12-08,HOLD
2009-12-09,HOLD
2009-12-10,HOLD
2009-12-11,HOLD
2009-12-14,HOLD
2009-12-15,HOLD
2009-12-16,HOLD
2009-12-17,HOLD
2009-12-18,HOLD
2009-12-21,HOLD
2009-12-22,HOLD
2009-12-23,HOLD
2009-12-28,HOLD
2009-12-29,HOLD
2009-12-30,HOLD
2010-01-04,HOLD
2010-01-05,HOLD
2010-01-06,HOLD
2010-01-07,HOLD
2010-01-08,HOLD
2010-01-11,HOLD
2010-01-12,HOLD
2010-01-13,HOLD
2010-01-14,HOLD
2010-01-15,HOLD
2010-01-18,HOLD
2010-01-19,HOLD
2010-01-20,HOLD
2010-01-21,HOLD
2010-01-22,HOLD
2010-01-26,HOLD
2010-01-27,HOLD
2010-01-28,HOLD
2010-01-29,HOLD
2010-02-01,HOLD
2010-02-02,HOLD
2010-02-03,HOLD
2010-02-04,HOLD
2010-02-05,HOLD
2010-02-08,HOLD
2010-02-09,HOLD
2010-02-10,HOLD
2010-02-11,HOLD
2010-02-12,HOLD
2010-02-17,HOLD
2010-02-18,HOLD
2010-02-19,HOLD
2010-02-22,HOLD
2010-02-23,HOLD
2010-02-24,HOLD
2010-02-25,HOLD
2010-02-26,HOLD
2010-03-01,HOLD
2010-03-02,HOLD
2010-03-03,HOLD
2010-03-04,HOLD
2010-03-05,HOLD
2010-03-08,HOLD
2010-03-09,HOLD
